"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 07 13:07:44 IST 2020","Mon Dec 07 13:07:49 IST 2020","4641","","Verify titles of Different webpages","","Verify titles of Different webpages","Verify title of Google.com","Verify title of Google.com",""
"failed","Mon Dec 07 13:07:49 IST 2020","Mon Dec 07 13:07:55 IST 2020","5682","","Verify titles of Different webpages","","Verify titles of Different webpages","Verify title of Gmail.com","Verify title of Gmail.com",""
